dataset,task_name,target,split,split_id,model,pca_dim,tabpfn_cap,spearman,r2,top5_precision,top5_enrich_diff,n_runs,n_train,n_test
DMS,DMS,dms_enrichment_mean,within_position,within_seed1,xgb,64,,0.8008467607098174,0.6316742777824402,0.16321839080459769,0.39481271505355836,5,6902,1726
DMS,DMS,dms_enrichment_mean,within_position,within_seed1,xgb,128,,0.8348316696482682,0.6780344843864441,0.19999999999999998,0.41361459493637087,5,6902,1726
DMS,DMS,dms_enrichment_mean,within_position,within_seed2,tabpfn,64,0.0,0.8656977983427455,0.7611802816390991,0.4022988505747126,0.4412723183631897,1,6902,1726
DMS,DMS,dms_enrichment_mean,within_position,within_seed2,tabpfn,64,5000.0,0.8503778272920599,0.7313423395156861,0.3586206896551724,0.43556866645812986,5,6902,1726
DMS,DMS,dms_enrichment_mean,within_position,within_seed2,tabpfn,128,0.0,0.8842140663456697,0.7902721166610718,0.4137931034482758,0.450111448764801,1,6902,1726
DMS,DMS,dms_enrichment_mean,within_position,within_seed2,tabpfn,128,5000.0,0.8723487919046893,0.7665425896644592,0.4091954022988505,0.44533175230026245,5,6902,1726
DMS,DMS,dms_enrichment_mean,within_position,within_seed2,xgb,64,,0.8110751950241113,0.6470497012138366,0.23678160919540225,0.4226675033569336,5,6902,1726
DMS,DMS,dms_enrichment_mean,within_position,within_seed2,xgb,128,,0.8432146726312905,0.6933220148086547,0.28505747126436776,0.4330230474472046,5,6902,1726
HOFF,HOFF_delta_derived,hoff_delta_O2_minus_N2,depth_holdout,depth_seed0,tabpfn,64,0.0,0.5157865060878497,0.2083911299705505,0.1647940074906367,0.8727318644523621,1,4919,5333
HOFF,HOFF_delta_derived,hoff_delta_O2_minus_N2,depth_holdout,depth_seed0,tabpfn,64,5000.0,0.5157865060878497,0.2083911299705505,0.1647940074906367,0.8727318644523621,1,4919,5333
HOFF,HOFF_delta_derived,hoff_delta_O2_minus_N2,depth_holdout,depth_seed0,tabpfn,128,0.0,0.5046109446181837,0.2052111625671386,0.1273408239700374,0.7760384678840637,1,4919,5333
HOFF,HOFF_delta_derived,hoff_delta_O2_minus_N2,depth_holdout,depth_seed0,tabpfn,128,5000.0,0.5046109446181837,0.2052111625671386,0.1273408239700374,0.7760384678840637,1,4919,5333
HOFF,HOFF_delta_derived,hoff_delta_O2_minus_N2,depth_holdout,depth_seed0,xgb,64,,0.3107655572507265,0.0265193581581115,0.146067415730337,0.7305005192756653,1,4919,5333
HOFF,HOFF_delta_derived,hoff_delta_O2_minus_N2,depth_holdout,depth_seed0,xgb,128,,0.346430342247409,0.0559282898902893,0.1273408239700374,0.7338081002235413,1,4919,5333
HOFF,HOFF_delta_derived,hoff_delta_O2_minus_N2,depth_holdout,depth_seed1,tabpfn,64,0.0,0.5157865060878497,0.2083911299705505,0.1647940074906367,0.8727318644523621,1,4919,5333
HOFF,HOFF_delta_derived,hoff_delta_O2_minus_N2,depth_holdout,depth_seed1,tabpfn,64,5000.0,0.5157865060878497,0.2083911299705505,0.1647940074906367,0.8727318644523621,1,4919,5333
